From "Advanced Computing in Electron Microscopy", Kirkland E.J., 2nd ed., 2010
Z,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3
1,0.0042029832,0.0627762505,0.0300907347,0.225350888,0.22536695,0.225331756,0.0677756695,0.0035660924,0.0276135815,4.38854001,0.403884823,1.44490166
2,1.87544e-05,0.0004105958,0.196300059,0.212427997,0.332212279,0.517325152,0.0083601574,0.0295102022,4.659e-07,0.366668239,1.37171827,37576.8025
3,0.0745843816,0.071538225,0.145315229,0.881151424,0.0459142904,0.881301714,1.12125769,0.0025173653,0.358434971,18.8483665,0.159189995,6.12371
4,0.0611642897,0.125755034,0.200831548,0.0990182132,0.0990272412,1.87392509,0.787242876,0.0015884785,0.273962031,9.32794929,0.0891900236,3.20687658
5,0.125716066,0.173314452,0.184774811,0.14825883,0.148257216,3.34227311,0.195250221,0.529642075,0.001082305,1.97339463,5.70035553,0.0564857237
6,0.212080767,0.199811865,0.168254385,0.208605417,0.208610186,5.57870773,0.14204836,0.363830672,0.000835012,1.33311887,3.80800263,0.040398262
7,0.533015554,0.0529008883,0.0924159648,0.290952515,10.3547896,10.3540028,0.261799101,0.0008802621,0.110166555,2.76252723,0.0347681236,0.993421736
8,0.339969204,0.307570172,0.130369072,0.38157028,0.381571436,19.1919745,0.0883326058,0.1965867,0.00099622,0.760635525,2.07401094,0.0303266869
9,0.230560593,0.526889648,0.124346755,0.480754213,0.480763895,39.530672,0.0012461689,0.0720452555,0.153075777,0.0262181803,0.592495593,1.59127671
10,0.408371771,0.454418858,0.144564923,0.588228627,0.588288655,121.246013,0.0591531395,0.124003718,0.0016498604,0.46396354,1.23413025,0.0205869217
11,0.136471662,0.770677865,0.156862014,0.0499965301,0.881899664,16.1768579,0.996821513,0.038030467,0.127685089,20.013261,0.260516254,0.699559329
12,0.304384121,0.756270563,0.101164809,0.0842014377,1.64065598,29.7142975,0.0345203403,0.971751327,0.120593012,0.216596094,12.1236852,0.560865838
13,0.777419424,0.0578312036,0.426386499,2.71058227,71.7532098,0.0913331555,0.11340722,0.790114035,0.0323293496,0.448867451,8.66366718,0.178503463
14,1.06543892,0.120143691,0.180915263,1.04118455,68.7113368,0.0887533926,1.1206562,0.0305452816,1.59963502,3.70062619,0.214097897,9.99096638
15,1.05284447,0.299440284,0.117460748,1.3196259,0.12846052,102.190163,0.960643452,0.0263555748,1.3805933,2.87477555,0.182076844,7.49165526
16,1.01646916,0.441766748,0.121503863,1.69181965,0.174180288,167.011091,0.82796667,0.0233022533,1.18302846,2.3034281,0.15695415,5.85782891
